# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 231K of event 'cycles'
# Event count (approx.): 247441296710
#
# Overhead  Command  Shared Object      Symbol                                            
# ........  .......  .................  ..................................................
#
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a3587
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc070
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8bd3
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc095
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f4796
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e7fc7
     0.00%  nuXmv    nuXmv              [.] 0x0000000000892877
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c77b8
     0.00%  nuXmv    [kernel.kallsyms]  [k] idle_cpu
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9c34
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7316
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ef672
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9a47
     0.00%  nuXmv    [kernel.kallsyms]  [k] timekeeping_update
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7dd5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aeb9a
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e58cc
     0.00%  nuXmv    nuXmv              [.] 0x000000000094aab6
     0.00%  nuXmv    nuXmv              [.] 0x000000000094ad80
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9c00
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5d14
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d85c0
     0.00%  nuXmv    nuXmv              [.] 0x000000000094aa87
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9f4a6
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca781
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8395
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9e74b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c8825f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000caa913
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9acd
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a58f5
     0.00%  nuXmv    nuXmv              [.] 0x000000000097fdd0
     0.00%  nuXmv    nuXmv              [.] 0x000000000095a580
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7e12
     0.00%  nuXmv    nuXmv              [.] 0x00000000001a02d0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f1f83
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ee004
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca1c7
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3e598
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7f51
     0.00%  nuXmv    nuXmv              [.] 0x0000000000955286
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e9ac4
     0.00%  nuXmv    nuXmv              [.] 0x000000000096330c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8dda
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f649e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9f3dd
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a67d3
     0.00%  nuXmv    nuXmv              [.] 0x00000000009551b4
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9d538
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca3b57
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca73fe
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca3b38
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ef6b0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000980fc3
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca0e6
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7da6
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f35aa
     0.00%  nuXmv    [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c6494
     0.00%  nuXmv    nuXmv              [.] 0x0000000000caa9b6
     0.00%  nuXmv    [kernel.kallsyms]  [k] file_remove_privs
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca3ab5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ef690
     0.00%  nuXmv    nuXmv              [.] 0x000000000095ed74
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e58f2
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9f49e
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ae4fe
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9d5bd
     0.00%  nuXmv    [kernel.kallsyms]  [k] update_fast_timekeeper
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f607c
     0.00%  nuXmv    [kernel.kallsyms]  [k] xhci_ring_ep_doorbell
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ae55f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ae71d
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e6086
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f4782
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f2db0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca0b6a
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a35bf
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9d54c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7a9d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000000660
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f58e5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa229
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c8795
     0.00%  nuXmv    nuXmv              [.] 0x000000000095a6d8
     0.00%  nuXmv    nuXmv              [.] 0x000000000094c4f5
     0.00%  nuXmv    nuXmv              [.] 0x00000000009383a3
     0.00%  nuXmv    nuXmv              [.] 0x000000000094af50
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5ffd
     0.00%  nuXmv    [kernel.kallsyms]  [k] raw_notifier_call_chain
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5f3f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca04d7
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5bde
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8bdb
     0.00%  nuXmv    [kernel.kallsyms]  [k] request_wait_answer
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fcea0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c881e5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5f47
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a67e1
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e58cf
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7af3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f2053
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e6062
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fbcb5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e58e8
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9f3c0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca3b1a
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f523b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fc63f
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fbc87
     0.00%  nuXmv    [kernel.kallsyms]  [k] lapic_next_deadline
     0.00%  nuXmv    nuXmv              [.] 0x00000000009499c8
     0.00%  nuXmv    nuXmv              [.] 0x000000000095498c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fbbc4
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7aab
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e600e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9e785
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7526
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f5058
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ae54c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9f49b
     0.00%  nuXmv    nuXmv              [.] 0x000000000019fe29
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d41162
     0.00%  nuXmv    nuXmv              [.] 0x000000000094c509
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a9eb4
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e6000
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995f3f
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cbefc
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9f3bb
     0.00%  nuXmv    nuXmv              [.] 0x0000000000984650
     0.00%  nuXmv    nuXmv              [.] 0x0000000000caa8ee
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca75e3
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9d57e
     0.00%  nuXmv    nuXmv              [.] 0x000000000094ab01
     0.00%  nuXmv    nuXmv              [.] 0x000000000093289c
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f1f20
     0.00%  nuXmv    nuXmv              [.] 0x00000000009549be
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca782f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa810
     0.00%  nuXmv    nuXmv              [.] 0x000000000095ed6b
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e9fb1
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5bda
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ceccd5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ef69d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca755b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7857
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7e40
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aef4d
     0.00%  nuXmv    nuXmv              [.] 0x000000000095ed4e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000086b20
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7635
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5f91
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9f668
     0.00%  nuXmv    nuXmv              [.] 0x0000000000caa9e3
     0.00%  nuXmv    nuXmv              [.] 0x0000000000954a0c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7abb
     0.00%  nuXmv    [kernel.kallsyms]  [k] __bitmap_and
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f2efe
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7a7a
     0.00%  nuXmv    nuXmv              [.] 0x0000000000954a21
     0.00%  nuXmv    nuXmv              [.] 0x000000000094c4f6
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f1e30
     0.00%  nuXmv    nuXmv              [.] 0x00000000009633a8
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa19d
     0.00%  nuXmv    nuXmv              [.] 0x000000000096339b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fb931
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7ecb
     0.00%  nuXmv    [kernel.kallsyms]  [k] switch_fpu_return
     0.00%  nuXmv    nuXmv              [.] 0x000000000097fdc4
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5760
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7551
     0.00%  nuXmv    nuXmv              [.] 0x00000000000edc40
     0.00%  nuXmv    nuXmv              [.] 0x0000000000981027
     0.00%  nuXmv    [kernel.kallsyms]  [k] xas_load
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a8d7c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca72be
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5aa0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000980fa0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e99d4
     0.00%  nuXmv    nuXmv              [.] 0x000000000089ec84
     0.00%  nuXmv    nuXmv              [.] 0x000000000089ecba
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f2dd8
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa74c
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aef5a
     0.00%  nuXmv    nuXmv              [.] 0x0000000000086f35
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca758c
     0.00%  nuXmv    nuXmv              [.] 0x000000000089eb84
     0.00%  nuXmv    nuXmv              [.] 0x0000000000954910
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5a39
     0.00%  nuXmv    nuXmv              [.] 0x00000000008efb6c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000caa083
     0.00%  nuXmv    nuXmv              [.] 0x00000000008efa83
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f1e4a
     0.00%  nuXmv    nuXmv              [.] 0x0000000000959a90
     0.00%  nuXmv    [kernel.kallsyms]  [k] generic_write_check_limits
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fbca1
     0.00%  nuXmv    nuXmv              [.] 0x00000000009461ac
     0.00%  nuXmv    [kernel.kallsyms]  [k] memset_erms
     0.00%  nuXmv    [kernel.kallsyms]  [k] _find_next_bit
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3ffbd
     0.00%  nuXmv    [kernel.kallsyms]  [k] cap_inode_need_killpriv
     0.00%  nuXmv    [kernel.kallsyms]  [k] iov_iter_copy_from_user_atomic
     0.00%  nuXmv    [kernel.kallsyms]  [k] generic_write_checks
     0.00%  nuXmv    [kernel.kallsyms]  [k] get_obj_cgroup_from_current
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9e6b5
     0.00%  nuXmv    nuXmv              [.] 0x0000000000941b64
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cec110
     0.00%  nuXmv    [kernel.kallsyms]  [k] __srcu_read_lock
     0.00%  nuXmv    nuXmv              [.] 0x00000000001a17d0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3b3f0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9e791
     0.00%  nuXmv    nuXmv              [.] 0x0000000000959b84
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca77e0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008b29b7
     0.00%  nuXmv    nuXmv              [.] 0x00000000009552b3
     0.00%  nuXmv    [kernel.kallsyms]  [k] nohz_balance_exit_idle
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ee540
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ef3f0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000caa064
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aec42
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ae4f0
     0.00%  nuXmv    nuXmv              [.] 0x000000000089ea38
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ed530
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ae561
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ae56c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8b82
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d82cb
     0.00%  nuXmv    [kernel.kallsyms]  [k] cgroup_throttle_swaprate
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c64bb
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc609
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cecc5a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cba66
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ee409
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc2d5
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9a7f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c88090
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca293
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e5c70
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9a03
     0.00%  nuXmv    nuXmv              [.] 0x00000000009caafa
     0.00%  nuXmv    nuXmv              [.] 0x000000000098bcca
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c6479
     0.00%  nuXmv    [kernel.kallsyms]  [k] tick_program_event
     0.00%  nuXmv    nuXmv              [.] 0x0000000000086b2c
     0.00%  nuXmv    nuXmv              [.] 0x000000000093252e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000937c54
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fcea1
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc93b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7e3a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7d80
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c6407
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e978b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c99c4
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7917
     0.00%  nuXmv    nuXmv              [.] 0x0000000000caabff
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca762
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8360
     0.00%  nuXmv    nuXmv              [.] 0x0000000000890ce8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8c6b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c88200
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9b1b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc082
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e7f7d
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc02f
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9a0a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c87fb
     0.00%  nuXmv    nuXmv              [.] 0x00000000009328b9
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc617
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc37f
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc375
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c6420
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c88214
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc933
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e9799
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c88129
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc09a
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a35da
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9b42
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7903
     0.00%  nuXmv    nuXmv              [.] 0x000000000089286d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cecd0b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009caaf2
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c880e2
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c78b5
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9578
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c6510
     0.00%  nuXmv    nuXmv              [.] 0x000000000089524e
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9a34
     0.00%  nuXmv    nuXmv              [.] 0x0000000000892901
     0.00%  nuXmv    [kernel.kallsyms]  [k] alloc_pages_vma
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fb9e9
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8410
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c8822b
     0.00%  nuXmv    nuXmv              [.] 0x000000000089288a
     0.00%  nuXmv    [kernel.kallsyms]  [k] __mod_node_page_state
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc17f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000963de3
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e978e
     0.00%  nuXmv    nuXmv              [.] 0x000000000087e66b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8417
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c88238
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c99ea
     0.00%  nuXmv    nuXmv              [.] 0x000000000098bcbb
     0.00%  nuXmv    [kernel.kallsyms]  [k] try_charge
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca277
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca769
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a35b4
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7db7
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d828a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca20e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca75c2
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7e6b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca91b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d83c8
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a1f00
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e9712
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fb857
     0.00%  nuXmv    nuXmv              [.] 0x000000000089e99a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8a01
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fc75f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca804c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fb850
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c894f
     0.00%  nuXmv    nuXmv              [.] 0x00000000009549dd
     0.00%  nuXmv    nuXmv              [.] 0x000000000095ed47
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc950
     0.00%  nuXmv    nuXmv              [.] 0x00000000008911fa
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca233
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca072
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a359c
     0.00%  nuXmv    nuXmv              [.] 0x000000000089e9a9
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8be8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc218
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9a4a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca094
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca0d7
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e7f77
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d833d
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8149
     0.00%  nuXmv    nuXmv              [.] 0x0000000000932ea1
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c99d4
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca182
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e9b00
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e3590
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc918
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c8973
     0.00%  nuXmv    nuXmv              [.] 0x0000000000895227
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7e58
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c865b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e56d1
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9d56d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca04e4
     0.00%  nuXmv    nuXmv              [.] 0x00000000009499da
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca7d6
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9a40
     0.00%  nuXmv    [kernel.kallsyms]  [k] handle_edge_irq
     0.00%  nuXmv    nuXmv              [.] 0x00000000008910f8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c63ff
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e97b0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca0b7a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d839f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca803b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9c3c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7c8b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca300
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9afd
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc08f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca78ec
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c882c2
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e02c7
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7a86
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c95d53
     0.00%  nuXmv    [kernel.kallsyms]  [k] kmalloc_slab
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e7fe6
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7833
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c77cb
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc438
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a58e2
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c6419
     0.00%  nuXmv    nuXmv              [.] 0x000000000089287e
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e41e7
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fbbf8
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c881f4
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8de2
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fbcc8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc076
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca266
     0.00%  nuXmv    nuXmv              [.] 0x000000000087e690
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9a37
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e881e
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc8f0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d1e5c6
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc90d
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc17c
     0.00%  nuXmv    nuXmv              [.] 0x000000000095527f
     0.00%  nuXmv    nuXmv              [.] 0x000000000095e920
     0.00%  nuXmv    nuXmv              [.] 0x00000000009328c1
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9a2b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9ddb5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e0169
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c8808
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e59b7
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c8820
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f5130
     0.00%  nuXmv    nuXmv              [.] 0x0000000000956293
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc16b
     0.00%  nuXmv    [kernel.kallsyms]  [k] scheduler_tick
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995dcd
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca16a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8192
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f65c5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008b2b79
     0.00%  nuXmv    [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e602f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a5610
     0.00%  nuXmv    nuXmv              [.] 0x00000000009549f8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8812
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9dcd0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e59f6
